RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-115-00,C-1567084,"APT Foundation
54 East Ramsdell St, NEW HAVEN, CONNECTICUT, 06515",NEW HAVEN,"623220 /
623220",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"It is alleged that at least three (3) employees who have been working and has tested positive to the COVID-19 virus may have exposed other employees to the virus. 
 
1. Employees were not notified within a timely manner of a potential indirect and/or direct coronavirus (COVID-19) exposure or encounter. 
 
2. Employees working in close proximity to each other and patients are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility. 
 
3. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines, which is leading to employees contracting COVID-19. 
 
4. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.
","4/
12",1,62
01-115-00,C-1567854,"Stamford House Medical Group
292 Long Ridge Road, Suite 103, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"621498 /
621498",2020-04-08,Phone,Nonformal,,N-16-COVID-19: ,Employee are exposed to Coronavirus; two employees were recently diagnosed with Coronavirus and facility was not closed nor sanitized. ,"1/
10",1,62
01-115-00,C-1568248,"New England Spine and Disc
391 Boston Post Road, ORANGE, CONNECTICUT, 06477",NEW HAVEN,"621310 /
621310",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employer has not implemented a coronavirus (COVID-19) screening protocol for walk-in patients and similar prior to entry to the facility.

2. Workers are not provided with personal protective equipment (PPE) such as, but not limited to, masks. Allegedly, employees have to supply their own PPE. 

3. The employer is not following the CDC guidelines for healthcare facilities in order to minimize and/or eliminate hazards associated with coronavirus (COVID-19).

4.  Employees and patients are working and congregating in close proximity to each other and are not practicing social distancing in accordance with Centers of Disease Control (CDC) Guidelines when working, sitting, and moving throughout the facility.

5. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines, especially for high touch areas. 

6. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.","6/
6",1,62
01-115-00,C-1568258,"Fosdick Fulfillment Corporation
26 Barnes Industrial Road North, WALLINGFORD, CONNECTICUT, 06492",NEW HAVEN,"493110 /
493110",2020-04-07,Online,Formal,,N-16-COVID-19: ,"1.  Employees working in close proximity to each other, in areas such as, but not limited to, assembly lines  and lunch rooms, are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility. Allegedly, during shift changes there is a bottle neck effect that is occurring causing crowding of the employees and reducing the distancing space. 
 
2. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines especially in high touch areas.
 
3. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.

4. There is no air exchange occurring in the facility. Allegedly the ventilation and fans have been turned off in the facility. 

5. When soap and water are not readily available, hand sanitizing stations throughout the facility are empty and/or not available for use.  Allegedly, there are not enough hand washing areas to accommodate the amount of staff working on each shift. 
","/
",1,49
01-115-00,C-1568270,"ACME Markets
288 Elm Street, NEW CANAAN, CONNECTICUT, 06840",FAIRFIELD,"445110 /
445110",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1.  It is alleged that at least three (3) employees have test positive and employees were not notified within a timely manner of a potential indirect and/or direct coronavirus (COVID-19) exposure or encounter. 
 
2. Employees working in close proximity to each other are not practicing social distancing in accordance with CDC Guidelines when working and moving throughout the facility. 
 
4. Proper disinfecting and cleaning is not being performed in accordance with CDC Guideline, including high touch areas. 
 
5. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed. 
","5/
20",1,44
01-115-00,C-1568594,"GNC
880 Washington Street, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"446191 /
446191",2020-04-08,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees working at the store checkout areas are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19).

2. The store checkout areas are not equipped with fixed barriers (such as clear Plexiglas) to minimize and/or eliminate potential exposure to customers potentially infected with coronavirus (COVID-19).
","2/
6",1,44
01-115-00,C-1569213,"Filosa Care Center Inc DBA Hancock
31 Staple Street, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"623110 /
623110",2020-04-09,Phone,Nonformal,,N-16-COVID-19: ,Caretakers do not properly dispose of personal protective equipment after interacting with a patient in isolation.,"1/
10",1,62
01-115-00,C-1569224,"Laticrete International Inc
91 Amity Road, BETHANY, CONNECTICUT, 06524",NEW HAVEN,"327390 /
327390",2020-04-09,Phone,Nonformal,,N-16-COVID-19: ,"1. Not all workers who are able to work at home are told to work from home.

2. Temperatures are not taken in the morning to monitor workers for a fever.

3. Workers were told they would receive surgical masks but have not received them yet.","3/
20",1,32
01-115-00,C-1569247,"YALE-NEW HAVEN HOSPITAL
20 YORK STREET  , Cardio Thoracic ICU, NEW HAVEN, CONNECTICUT, 06504",NEW HAVEN,"622110 /
622110",2020-04-09,Phone,Nonformal,,N-16-COVID-19: ,A worker is required to wear an N95 filtering facepiece respirator without being fit tested prior to initial use.,"1/
1",1,62
01-115-00,C-1569291,"FedEx Express DBA FedEx
500 Lordship Boulevard, STRATFORD, CONNECTICUT, 06615",FAIRFIELD,"492110 /
492110",2020-04-10,Online,Nonformal,,N-16-COVID-19: ,"1.   Senior manager is covering up anyone that test positive for the virus. 
2.  Management doesn't keep employees informed. 
3.  A few people tested positive and they are hiding it from the rest of the crew. 
4.  No social distancing inside the terminal or in break rooms or lunch rooms and 
5.  management is aware of drivers becoming sick with the virus and nothing is being done about it. Except want employees to work 7 days a week ","5/
1",1,49
01-115-00,C-1569973,"Mary Wade Home
118 Clinton Ave, NEW HAVEN, CONNECTICUT, 06505",NEW HAVEN,"623110 /
623110",2020-04-13,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are not provided with the proper personal protective equipment (PPE) when expose to residents with COVID19.

2. Residents with COVID19 are exposing employee when PPE used does not cover fully cover the employee.

3. The employees are not trained in the proper procedures and practices in the use of PPE during the current COVID19 outbreak.

4. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working).","4/
35",1,62
01-115-00,C-1569974,"Wieland Rolled Products North America
215 Piedmont Road, WATERBURY, CONNECTICUT, 06706",NEW HAVEN,"332322 /
332322",2020-04-06,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employer had not cleaned the restrooms, cafeteria, locker and wash rooms.

2.  The cafeteria ceiling floods creating a hazard for the employees.

3. There are leaks/floods in the ceiling creating a hazard for the employees working and walking.

4.  The employees are given shop rags to clean the tables in the cafeteria.  Disinfectants are given to the employees with the dirty shop rags to clean the tables.

5.  There employees are exposed to sanitation hazards in the workshop.

6.  The employees are working in close proximity to each other and the employer is not requiring the employees to practice social distance in accordance with Center of Disease Control  (CDC) guidelines when working and moving though the facility, some staff have to work together to complete job tasks, such as but not limited to the maintenance employees.

7.  Employees are not provided with personal protective equipment (PPE), such as but not limited to face masks when working in close proximity to other workers.

8. Proper disinfecting and cleaning is not being performed in accordance with CDC guidelines.  It is alleged that places, such as but not limited again to the restrooms, cafeteria, locker and wash rooms are not being cleaned with EPA or similar approved products to disinfect these and similar areas.

9. CDC guidelines, such as but not limited to the Interim Guidance for Business and Employer's to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed.

10. The second shift electricians are not properly trained and exposed to electrical hazards when working on 480V panels.

11.  Workers are exposed to mineral oil mists in the oil cellars underneath roller mills 11, 13, and 14.

12.  The employees are exposed to fall hazards at the escape hatches for the oil cellars at the hatches.  The hatch is unguarded and the fall is  about fifteen feet (15').","12/
100",1,33
01-115-00,C-1570113,"Waterbury Hospital
64 Robbin Street, WATERBURY, CONNECTICUT, 06721",NEW HAVEN,"622110 /
622210",2020-04-13,Phone,Nonformal,,N-16-COVID-19: ,1. Employees working with COVID19 patients are expected to re-use personal protection equipment (PPE) when it's been contaminated.,"1/
35",1,62
01-115-00,C-1570443,"Curtis Home
380 Crown Street, MERIDEN, CONNECTICUT, 06450",NEW HAVEN,"623110 /
623110",2020-04-13,Online,Nonformal,,N-16-COVID-19: ,"1. Employees expect to work with COVID 19 Patients are not provided with personal protective equipment (PPE).

2.  Thermometers are not available for the employees that my show sign and symptom of COVID19.

3.  CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working).","3/
35",1,62
01-115-00,C-1570745,"Amtrack
54  Hallock Ave, NEW HAVEN, CONNECTICUT, 06502",NEW HAVEN,"482112 /
482112",2020-04-13,Phone,Nonformal,,N-16-COVID-19: ,"1. Personal protective equipment (PPE) including but not limited to N95 white filtering face pieces are limited to employees that are required to clean and maintain trains during the COVID 19 crisis.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working). ","2/
5",1,48
01-115-00,C-1570785,"UPS
190 Dr Martin Luther King Jr Drive, NORWALK, CONNECTICUT, 06854",FAIRFIELD,"492110 /
492110",2020-04-13,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees working on the unloading sort isle are not provided with proper personal protective equipment and adhere to social distancing during the COVID19 crisis.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working).","2/
30",1,49
01-115-00,C-1570798,"Whole Foods Market
150 Ledge Road, DARIEN, CONNECTICUT, 06820",FAIRFIELD,"445299 /
445299",2020-04-14,Email,Nonformal,,N-16-COVID-19: ,"1.  Numerous of employees have been tested COVID-19 positive and are still working.

2.  Employees working at the store are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID -19)","2/
40",1,44
01-115-00,C-1570814,"All Saints Catholic School
139 West Rock Road, NORWALK, CONNECTICUT, 06851",FAIRFIELD,"611110 /
611110",2020-04-13,Online,Nonformal,,N-16-COVID-19: ,"1. Employee's working in close quarters are not utilizing proper personal protective equipment including but not limited to N 95 white filtering face pieces.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working). 



","2/
3",1,61
01-115-00,C-1570866,"LECOQ CUISINE CORP.
35 UNION AVE, BRIDGEPORT, CONNECTICUT, 06607",FAIRFIELD,"424490 /
424490",2020-04-14,Phone,Nonformal,,N-16-COVID-19: ,"1. Numerous of employees have been diagnose with Coronavirus (COVID -19); employees are working in the same area and are within 3 feet or less of distance of each other.

2. Employees are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19). 

","1/
150",1,42
01-115-00,C-1571262,"Dunkin Donut
320 Main Street, EAST HAVEN, CONNECTICUT, 06512",NEW HAVEN,"722211 /
722211",2020-04-14,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are exposed to Coronavirus (COVID - 19); employees are diagnosed positive with Coronavirus (COVID - 19) and are forced to work sick.

2.  Employees are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19). ","2/
20",1,72
01-115-00,C-1571263,"TARGET
7 STONY HILL ROAD, BETHEL, CONNECTICUT, 06801",FAIRFIELD,"452112 /
452112",2020-04-14,Phone,Nonformal,,N-16-COVID-19: ,The store checkout areas are not equipped with fixed barriers (such as clear Plexiglas) to minimize and/or eliminate potential exposure to customers potentially infected with coronavirus (COVID-19). ,"1/
80",1,45
01-115-00,C-1571272,"Guardian Services Industries
1 American Lane, GREENWICH, CONNECTICUT, 06831",FAIRFIELD,"561720 /
561720",2020-04-14,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees diagnosed with positive coronavirus are cleaning the building facility without adequate PPE. 

2. Employees working in the building are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19). ","2/
8",1,56
01-115-00,C-1571666,"Alinabal Incorporated
28 Woodmont Road, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"332116 /
332116",2020-04-14,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are exposed to Coronavirus ( COVID -19); numerous of employees were diagnosed with Coronavirus (COVID -19)  and are forced to work exposing other workers to the COVID -19 virus. 

2. Employees are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19). 


","2/
60",1,33
01-115-00,C-1571738,"Lindquist Design Associate
1730 State Street , BRIDGEPORT, CONNECTICUT, 06605",FAIRFIELD,"541320 /
541320",2020-04-14,Mail,Nonformal,,N-16-COVID-19: ,"1. Handwashing provisions are not provided.

2. Effective training is not conducted when employees are expected to work with including but not limited to, chemicals, personal protective equipment (PPE) and ladders.

3. Training is not conducted in a language the workers can effectively understand.

4. Social distancing is not being adhere to potentially exposed employees to coronavirus (COVID-19) when employees are required to work in teams.

5. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working).
","5/
3",1,54
01-115-00,C-1572350,"The Eagle Leasing Company
1 IRVING EAGLE PLACE, ORANGE, CONNECTICUT, 06477",NEW HAVEN,"532120 /
532120",2020-04-16,Online,Nonformal,,N-16-COVID-19: ,"The company did not have policies in place allowing workers who were in close contact with two employees who exhibited symptoms of the coronavirus disease (COVID-19), to stay home until their disease status was known. The two employees did end up testing positive for COVID-19. ","1/
20",1,53
01-115-00,C-1575410,"Danbury Hospital
24 Hospital Avenue, DANBURY, CONNECTICUT, 06810",FAIRFIELD,"622110 /
622110",2020-04-21,Online,Formal,,N-16-COVID-19: ,"1. Personal protective equipment (PPE) including but not limited to N95 white filtering face pieces are not provided to all employees potentially exposed to coronavirus (COVID-19) when employees are required to enter a coronavirus (COVID-19) Unit and social distancing is not being adhere to potentially exposed employees to coronavirus (COVID-19) when using an elevator.
 
2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to plan and respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees working while showing signs and symptoms of Coronavirus (COVID-19) are potentially exposing and infecting other working employees.
","/
",1,62
01-115-00,C-1575463,"Trumbull Printing, LLC
205 Spring Hill Road, TRUMBULL, CONNECTICUT, 06611",FAIRFIELD,"323119 /
323119",2020-04-20,Online,Nonformal,,N-16-COVID-19: ,Employer is not cleaning and providing Personal Protective Equipment (PPE) to employees according to the guidelines set out by the Center for Disease Control (CDC) for employers regarding the Covid-19 virus pandemic. ,"1/
100",1,32
01-115-00,C-1577037,"The Hearth at Southbury
655 Main Street, SOUTHBURY, CONNECTICUT, 06488",NEW HAVEN,"623311 /
623311",2020-04-23,Online,Nonformal,,N-16-COVID-19: ,Certified Nurses Aid are working with patients diagnosed with positive Coronavirus (COVID-19) and are not provided with proper personal protective equipment.,"1/
30",1,62
01-115-00,C-1577875,"USPS Cheshire, CT
210 Maple Avenue, CHESHIRE, CONNECTICUT, 06410",NEW HAVEN,"491110 /
491110",2020-04-24,Phone,Nonformal,,N-16-COVID-19: ,"1.   The employer is not separating the employees at the Cheshire, CT Post Office for the correct social distance in accordance with the coronavirus (COVID-19) Center of Disease Control (CDC) guidelines.
2.   The employees are not wearing the personal protective equipment (PPE), such as but not limited to masks.
3.   The employer is not providing the masks at the entrance of the doors for the employees, the masks are located in the center of the building.
","3/
30",1,49
01-115-00,C-1578023,"Memry Corporation
3 Berkshire Boulevard, BETHEL, CONNECTICUT, 06801",FAIRFIELD,"331491 /
331491",2020-04-23,Online,Nonformal,,N-16-COVID-19: ,"1.  Numerous of employees have been tested COVID-19 positive and company is not providing employee with proper personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID -19). 

2.  Company is not sanitizing / cleaning the facility between shift nor providing employee with cleaning and disinfectant supplies.","2/
30",1,33
01-115-00,C-1578214,"Employment Options, LLC / ABI Division
1100 Southford Road, MIDDLEBURY, CONNECTICUT, 06762",NEW HAVEN,"621498 /
621498",2020-04-23,Phone,Nonformal,,N-16-COVID-19: ,Employees are not provided with cleaning and disinfectant supplies and personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19). ,"1/
10",1,62
01-115-00,C-1578219,"U.S. Postal Service
115 Boston Avenue, BRIDGEPORT, CONNECTICUT, 06606",FAIRFIELD,"491110 /
491110",2020-04-24,Phone,Nonformal,,N-16-COVID-19: ,"1. Numerous of employees diagnosed with Coronavirus (COVID -19) and facility has not been cleaned or disinfected adequately nor employees are provided with cleaning and disinfectant supplies.

2. Employees are not provided with adequate personal protective equipment (PPE) such as but not limited to face masks and gloves in accordance with CDC Guidelines to prevent exposure to coronavirus (COVID-19).
","2/
65",1,49
01-115-00,C-1578620,"Spadola & Vincent General Dentistry
415 Highland AVenue, CHESHIRE, CONNECTICUT, 06410",NEW HAVEN,"621210 /
621210",2020-04-24,Phone,Nonformal,,N-16-COVID-19: ,"1.  The employer is hiding the personal protective equipment (PPE) used for the protection of coronavirus (COVID-19) such as, but not limited to the level 1 and level 3 masks.
 
2.  The employees are using one level 1 masks for five shifts of patients.  The level 1 masks are not being sanitized for usage.
","2/
3",1,62
01-115-00,C-1578847,"Whispering Pines Healthcare
38 Talmadge Avenue, EAST HAVEN, CONNECTICUT, 06512",NEW HAVEN,"621999 /
621999",2020-04-27,Mail,Nonformal,,N-16-COVID-19: ,Employees not given the proper PPE for Covid-19 protection.,"1/
5",1,62
01-115-00,C-1579736,"J.B. Hunt Transport, Inc.
345 Old Gate Lane, MILFORD, CONNECTICUT, 06460",NEW HAVEN,"484121 /
811192",2020-04-28,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees, including drivers, subcontractors, and temporary labor, are not provided sufficient personal protective equipment, to perform tasks such as, but not limited to, cleaning of trucks, to include cabs and sleeping quarters, breakrooms, and other high touch areas. 

2. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines. It is alleged that the proper disinfecting cleaners and/or methods are not being used and followed. 
 
3. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed. 
","3/
48",1,48
01-115-00,C-1581194,"Quality Stairs, Inc.
70 Logan Street, BRIDGEPORT, CONNECTICUT, 06607",FAIRFIELD,"321918 /
321918",2020-04-30,Online,Nonformal,,N-16-COVID-19: ,"1) Employer is not cleaning areas of the workplace where employees worked who were found to be tested positive for the Covid-19 virus. 

2) The employer is not providing employees with personal protective equipment (PPE) in accordance with the recommendations of the Center for Disease Control (CDC) in relation to the current Covid-19 outbreak.

3) The employer is not notifying employees that some employees tested positive for the Covid-19 virus.  

","3/
10",1,32
01-115-00,C-1581886,"Big Y Foods Inc DBA Big Y
85 Brdige St Rte 68, NAUGATUCK, CONNECTICUT, 06770",NEW HAVEN,"445110 /
445110",2020-05-01,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees, including managers, are working in close proximity to other employees, vendors, and customers, and are not practicing social distancing (6 feet distancing) in accordance with CDC Guidelines when working and moving throughout the facility, including the back room/stock room. 
 
2. Employees working in areas such as, but limited to, front desk, the general store, and back room, are not wearing face coverings while in in working in store and when other employees, vendors, and/or customers are present. 

3. CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed. 
","3/
20",1,44
01-115-00,C-1582454,"Alliance For Community Empowerment, Inc.
1070 Park Avenue, BRIDGEPORT, CONNECTICUT, 06604",FAIRFIELD,"624190 /
624190",2020-05-04,Online,Nonformal,,N-16-COVID-19: ,"The employer is not adequately notifying employees when other employees have suspect or test positive for Coronavirus (COVID-19) virus.
","1/
10",1,62
01-115-00,C-1583263,"Wine Merchants Orange, LLC
302 Racebrook Road, ORANGE, CONNECTICUT, 06477",NEW HAVEN,"445310 /
445310",2020-05-04,Online,Nonformal,,N-16-COVID-19: ,The employer is not providing employees with personal protective equipment (PPE) in accordance with the recommendations of the Center for Disease Control (CDC) in relation to the current Covid-19 outbreak. ,"1/
10",1,44
01-115-00,C-1584881,"Amazon BDL3
409 Washington Avenue, NORTH HAVEN, CONNECTICUT, 06473",NEW HAVEN,"518210 /
518210",2020-05-06,Phone,Nonformal,,N-16-COVID-19: ,"1.   Allegedly, employees tested positive for coronavirus (COVID-19) and the employer has not informed employee who are on extended leave of absence on the amounts of employees who had contacted coronavirus in the past month and had not taken any preventative measures in accordance with CDC Guidelines for employees indirect or direct exposed to individuals with known or suspected cases of coronavirus (COVID-19).

2.   Allegedly, outside contractors performing cleaning and disinfecting of the workshop are not provided with appropriate personal protective equipment (PPE) and are not maintaining social distancing with the Amazon employees.


","2/
1,000",1,51
01-115-00,C-1585019,"Luvata Waterbury, Inc.
2121 Thomaston Ave., WATERBURY, CONNECTICUT, 06704",NEW HAVEN,"335929 /
335929",2020-05-07,Phone,Nonformal,,N-16-COVID-19: ,"The proper precautions outlined by the centers for disease control and prevention are not being implemented at the workplace. 
This includes:

-Everyone's temperature not being taken at the beginning of the shift
-Shifts have not been staggered and working stations have not been spread out to the extent possible
-There is not proper communication to all employees regarding when they should stay home
-There is not open communication to all workers informing them when positive coronavirus cases are detected in the workforce
-Workers all eat lunch at the same time instead of staggering the times and minimizing employee gatherings","1/
200",1,33
01-115-00,C-1587637,"U.S. Postal Service
29 Valley Drive, GREENWICH, CONNECTICUT, 06831",FAIRFIELD,"491110 /
491110",2020-05-12,Phone,Nonformal,,N-16-COVID-19: ,"It is alleged than an employee who was tested for the coronavirus disease 2019 (COVID-19) returned to work and worked for several days prior to receiving their test results.  The employee was at work when the results were received and continued to work throughout the facility and take a meal break, before informing the employer they had tested positive for COVID-19 and leaving for the day. The employer did not take immediate action after learning of the positive case.  The next day the employer gave a service talk to staff notifying staff that a positive case had occurred in the workplace and that more through cleaning was going to occur.  However, the employer did not perform any additional disinfection measures after notifying of the positive case.  Since this incident, which occurred over a month ago, approximately six (6) other employees have tested positive for COVID.  The employer recently incorporated extra cleaning and disinfecting, which is being done by an outside contractor.


1. The employer isn't following CDC Guidelines, such as, but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed

2. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines, especially for high touch areas for employees. 
 
3. The employer hasn't developed policies and procedures for prompt Identification and isolation of sick staff.

4.  The employer has not prepared and implemented basic infection prevention measures.

5. The employer did not implement workplace controls, such as, but not limited to engineering controls, administrative controls, and safe work practices.","7/
25",1,49
01-115-00,C-1587739,"Safe Home Security Inc
1125 Middle Street, Suite 201, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"561621 /
561621",2020-05-12,Online,Formal,,N-16-COVID-19: ,"The company has had three (3)  coronavirus disease 2019 (COVID-19) related complaints within the last six (6) weeks, including the current complaint.

1.  Within the facility, but specifically on the first and second floors, three (3) employees have tested positive for coronavirus disease 2019 (COVID-19) and two (2) employees who have a possibility of being positive, the employer is not following the current CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19).

2.  Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines where the employer has had at least three (3) positive cases within the facility. These areas include, but are limited to, high touch areas, offices, restrooms, common areas, and general use office equipment. 

3. Employees, are working in close proximity to other employees, and are not practicing social distancing (6 feet distancing) in accordance with CDC Guidelines when working and moving throughout the facility. ","/
",1,56
01-115-00,C-1588379,"O & G INDUSTRIES INC.
40 Medow Street, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"236220 /
444190",2020-05-12,Phone,Nonformal,,N-16-COVID-19: ,"1   The employer did not inform employees of their possible exposure to COVID-19 in the workplace but maintain confidentiality as required by the Americans with Disabilities Act (ADA)
2   The employer did not wait a minimum of 24 hours before cleaning and disinfecting to minimize potential for other employees being exposed to respiratory droplets prior to allowing another employee to fill the position
3   The employer did not follow the Public Health Recommendations for Community-Related Exposure and instruct potentially exposed employees to stay home for 14 days, telework if possible, and self-monitor for symptoms.","3/
2",1,23
01-115-00,C-1588534,"American Dry  Basement Systems, LLC
28 Del Mar Drive, BROOKFIELD, CONNECTICUT, 06804",FAIRFIELD,"238390 /
238390",2020-05-13,Online,Nonformal,,N-16-COVID-19: ,"1. There is excessive mold in basement warehouse and vents throughout building . 

2.  Laborers are not supplied with masks while jackhammering or reusable masks reused many times ,not only is concrete dust unhealthy but laborers working through corornavirus (COVID-19) during shut down are extremely vulnerable. 

3.  The Owner only shut down for 2weeks for the coronavirus (COVID-19) order but opened back up on his own long before May 20, 2020. 

4.  The Owner allowing the employees to use a mold treatment /disinfecting treatment in which dates of the treatment are expired. 

5.  The trucks are always a danger as they are not properly serviced. 

6.  Most of the laborers do not wear steel toe boots or safety goggles while jackhammering.

7.  The negative air machines used on jobsites never cleaned or serviced.","7/
20",1,23
01-115-00,C-1588728,"Quality Stairs, Inc.
70 Logan Street, BRIDGEPORT, CONNECTICUT, 06607",FAIRFIELD,"321918 /
321918",2020-05-12,Phone,Nonformal,,N-16-COVID-19: ,"The company has a total of two (2) complaints coronavirus disease 2019 (COVID-19) related complaints within the past two (2) weeks, including the current complaint.

1. Within the facility, at least one (1) employee has tested positive for coronavirus disease 2019 (COVID-19) and the employer is not following the current CDC Guidelines, such as but not limited to, the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19).  It is alleged the employee who tested positive did not follow the protocols for quarantine and returned to work earlier than the recommended time. 
 
2. Proper disinfecting and cleaning is not being performed in accordance with CDC Guidelines. These areas include, but are limited to, high touch areas, offices, restrooms, common areas, and tools. 
 
3. Employees, are working in close proximity to other employees, and are not practicing social distancing (6 feet distancing) in accordance with CDC Guidelines when working and moving throughout the facility. 
","3/
15",1,32
01-115-00,C-1590149,"Dr. Benedict Rich, DDS
6 Eversley Avenue, NORWALK, CONNECTICUT, 06851",FAIRFIELD,"621210 /
621210",2020-05-14,Phone,Nonformal,,N-16-COVID-19: ,"Employer is not providing appropriate Personal Protective Equipment (PPE) to the employees that are in the office and have direct contact with the patients.
The employer has not implemented source control (require facemasks or cloth face coverings) for everyone entering the dental setting (dental healthcare personnel [DHCP] and patients), regardless of whether they have COVID-19 symptoms.
The employer is not actively screening everyone on the spot for fever and symptoms of COVID-19 before they enter the dental setting.
The employer is not actively screening DHCP on the spot for fever and symptoms before every shift.
The employer has not postponed elective procedures, surgeries, and non-urgent dental visits.  ","6/
8",1,62
